covariate,cate_range,cate_min,cate_max
age,2455.0237497506214,776.1965120704202,3231.2202618210417
education,1564.217786620799,1087.525529802309,2651.743316423108
nodegree,998.0664492937728,1653.676867129335,2651.743316423108
married,630.8854943937909,1764.9039087067767,2395.7894031005676
re74,610.7187483201742,1412.8507629553073,2023.5695112754815
hispanic,604.5707099239735,1319.6470634267794,1924.2177733507529
re75,446.6560509456526,1535.9899560409033,1982.646006986556
black,299.5419996537728,1621.5024035561803,1921.044403209953
